Ticker,銘柄名,PBR,PER,ROE
1301.T,極洋,0.85870856,8.833892,11.9160004
1333.T,マルハニチロ,0.90311855,9.551065,10.71
1381.T,アクシーズ,0.9617017,12.535092,10.371
1662.T,石油資源開発,0.8858121,5.5187054,15.946001
1788.T,三東工業社,0.9807997,14.796083,10.5500005
1798.T,守谷商会,0.82022935,5.2521424,16.906
1848.T,富士ピー・エス,0.87470454,3.9266193,24.766001000000003
1850.T,南海辰村建設,0.8425616,7.5076747,11.437
1879.T,新日本建設,0.9206391,8.485757,11.326
2060.T,フィード・ワン,0.7105014,8.353566,11.071999
2112.T,塩水港精糖,0.8210057,5.7411714,15.939
2121.T,ＭＩＸＩ,0.9823899,10.509886,10.026
2220.T,亀田製菓,0.8310639,3.184739,31.041
2286.T,林兼産業,0.50211096,4.1224713,13.274
2418.T,ツカダ・グローバルホールディング,0.77459025,4.1928873,19.542
2429.T,ワールドホールディングス,0.93255156,6.4393253,16.641001
2475.T,ＷＤＢホールディングス,0.96600866,10.337946,10.476
2483.T,翻訳センター,0.93531245,8.707112,11.186
2602.T,日清オイリオグループ,0.88151515,7.604409,12.347999
2804.T,ブルドックソース,0.9404243,9.777363,10.389
2813.T,和弘食品,0.882912,7.5244904,12.667
2927.T,ＡＦＣ－ＨＤアムスライフサイエンス,0.8141435,8.591398,10.159001
2993.T,長栄,0.8752415,5.4144926,17.251
2999.T,ホームポジション,0.78742707,11.365228,11.911
3004.T,神栄,0.975832,5.523482,18.318
3020.T,アプライド,0.90215546,5.370753,18.041999999999998
3023.T,ラサ商事,0.9944638,10.280838,10.118
3024.T,クリエイト,0.87027246,8.779459,10.3760004
3054.T,ハイパー,0.8998945,9.539474,14.007
3089.T,テクノアルファ,0.95690274,11.630929,19.306
3157.T,ジオリーブグループ,0.8740238,8.658624,10.464
3184.T,ＩＣＤＡホールディングス,0.8621117,7.8153496,11.536
3192.T,白鳩,0.77124625,3.7164311,20.577998
3280.T,エストラスト,0.63009787,3.0025308,24.531999
3277.T,サンセイランディック,0.784222,5.829421,12.1300004
3321.T,ミタチ産業,0.9881136,7.491868,14.072999999999999
3375.T,ＺＯＡ,0.76599306,7.026449,11.350999999999999
3441.T,山王,0.71859676,6.8504257,12.738
3443.T,川田テクノロジーズ,0.8809136,8.773082,10.3360005
3477.T,フォーライフ,0.86166286,8.296651,10.775
3494.T,マリオン,0.60010093,6.27903,10.091999999999999
3526.T,芦森工業,0.9972218,8.976739,13.789000000000001
3538.T,ウイルプラスホールディングス,0.87568367,6.66161,12.814
